Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model 3,35,1715010612,Vehicle Controller - USB Assembly(with a Clip-secured Phone Dock),Remove and Replace,0.54,0.54
NO,Model 3,35,1715010621,VC USB Assembly(with a Screw-secured Phone Dock),Remove and Install,0.6,0.6
NO,Model 3,35,1715010622,VC USB Assembly(with a Screw-secured Phone Dock),Remove and Replace,0.6,0.6
NO,Model 3,35,1715010901,ECU - Headlight - RH,Remove and Install,0.66,0.66
NO,Model 3,35,1715010902,ECU - Headlight - RH,Remove and Replace,0.66,0.66
NO,Model 3,35,1720010011,Radar Heater - Routed,Remove and Install,0.47,0.47
NO,Model 3,35,1720010012,Radar Heater - Routed,Remove and Replace,0.47,0.47
NO,Model 3,35,1720010021,Radar Heater - Flat,Remove and Install,0.47,0.47
NO,Model 3,35,1720010022,Radar Heater - Flat,Remove and Replace,0.47,0.47
NO,Model 3,35,1720010031,Radar Sensors -Radar Fixation Proposal,Remove and Install,0.47,0.47
NO,Model 3,35,1720010032,Radar Sensors -Radar Fixation Proposal,Remove and Replace,0.47,0.47
NO,Model 3,35,1720010041,Radar Assembly,Remove and Install,0.47,0.47
NO,Model 3,35,1720010042,Radar Assembly,Remove and Replace,0.47,0.47
NO,Model 3,35,1722040041,Camera - B-Pillar - LH,Remove and Install,0.18,0.18
NO,Model 3,35,1722040042,Camera - B-Pillar - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1722040045,Camera - B-Pillar - LH (Clean),Maintenance,0.42,0.42
NO,Model 3,35,1722040051,Camera - B-Pillar - RH,Remove and Install,0.18,0.18
NO,Model 3,35,1722040052,Camera - B-Pillar - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,1722040145,Camera - B-Pillar RH (Clean),Maintenance,0.36,0.36
NO,Model 3,35,1722040245,Camera - B-Pillar - Pair (Clean),Maintenance,0.72,0.72
NO,Model 3,35,1724010051,Fan - Triple Cam,Remove and Install,0.18,0.18
NO,Model 3,35,1724010052,Fan - Triple Cam,Remove and Replace,0.18,0.18
NO,Model 3,35,17352202,Puddle Light - Rear Door - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model 3,35,17352302,Puddle Light - Rear Door - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model 3,35,17400100,Headlights - Adjust (NA) (Wall Method),Test/Adjust,0.24,0.24
NO,Model 3,35,1740010011,Headlight - LH (ECE),Remove and Install,0.72,0.72
NO,Model 3,35,1740010012,Headlight - LH (ECE),Remove and Replace,0.72,0.72
NO,Model 3,35,1740010021,Headlight - LH (SAE),Remove and Install,0.48,0.48
NO,Model 3,35,1740010022,Headlight - LH (SAE),Remove and Replace,0.48,0.48
NO,Model 3,35,1740010031,Headlight - RH (ECE),Remove and Install,0.72,0.72
NO,Model 3,35,1740010032,Headlight - RH (ECE),Remove and Replace,0.72,0.72
NO,Model 3,35,1740010041,Headlight - RH (SAE),Remove and Install,0.48,0.48
NO,Model 3,35,1740010042,Headlight - RH (SAE),Remove and Replace,0.48,0.48
NO,Model 3,35,1740010091,Reflex Assembly - Electrical - Exterior Lights - Tail Lights - RH,Remove and Install,0.18,0.18
NO,Model 3,35,1740010092,Reflex Assembly - Electrical - Exterior Lights - Tail Lights - RH,Remove and Replace,0.06,0.06
YES,Model 3,35,17400150,Headlights - Adjust - NA (Tool Method),Test/Adjust,0.18,0.18
NO,Model 3,35,17400160,Headlights - Adjust - Global (Wall Method),Test/Adjust,0.24,0.24
NO,Model 3,35,1740020011,Rear Fascia Light - LH,Remove and Install,0.36,0.36
NO,Model 3,35,1740020012,Rear Fascia Light - LH,Remove and Replace,0.42,0.42
NO,Model 3,35,1740020021,Rear Fascia Light - RH,Remove and Install,0.42,0.42
NO,Model 3,35,1740020022,Rear Fascia Light - RH,Remove and Replace,0.42,0.42
NO,Model 3,35,1740020031,Trunk Lid Light - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1740020032,Trunk Lid Light - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1740020041,Trunk Lid Light - RH,Remove and Install,0.24,0.24
NO,Model 3,35,1740020042,Trunk Lid Light - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,1740020051,Licens Plate Light,Remove and Install,0.12,0.12
NO,Model 3,35,1740020052,License Plate Light,Remove and Replace,0.12,0.12
NO,Model 3,35,1740020101,Headlight - Pair (ECE),Remove and Install,0.78,0.78
NO,Model 3,35,1740020102,Headlight - Pair (ECE),Remove and Replace,0.78,0.78
NO,Model 3,35,1745010011,Sleeve - Key Card,Remove and Install,0.06,0.06
NO,Model 3,35,1745010012,Key Card,Remove and Replace,0.06,0.06
NO,Model 3,35,1745010021,Key Card,Remove and Install,0.06,0.06
NO,Model 3,35,1745010022,Key Card,Remove and Replace,0.06,0.06
NO,Model 3,35,1745020001,BLE Assembly - Rear - RH,Remove and Install,0.24,0.24
NO,Model 3,35,1745020002,BLE Assembly - Rear - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,1745020011,BLE Assembly - Rear - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1745020012,BLE Assembly - Rear - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1745020031,Module - BLE - Rear,Remove and Install,0.42,0.42
NO,Model 3,35,1745020032,Module - BLE - Rear,Remove and Replace,0.42,0.42
NO,Model 3,35,17450306,Key Card - Program (No Keys Present),Program,0.06,0.06
NO,Model 3,35,17450513,Key Fob - Program (No Keys Present),Program,0.06,0.06
NO,Model 3,35,1750011011,Wiper Module (LHD),Remove and Install,0.42,0.42
NO,Model 3,35,1750011012,Wiper Module (LHD),Remove and Replace,0.42,0.42
NO,Model 3,35,1750020001,Wiper Module (RHD),Remove and Install,0.36,0.36
NO,Model 3,35,1750020002,Wiper Module (RHD),Remove and Replace,0.42,0.42
NO,Model 3,35,1753010011,Horn Assembly,Remove and Install,0.47,0.47
NO,Model 3,35,1753010012,Horn Assembly,Remove and Replace,0.47,0.47
NO,Model 3,35,1753010031,Horn - High Tone,Remove and Install,0.47,0.47
NO,Model 3,35,1753010041,Horn - Low Tone,Remove and Install,0.47,0.47
NO,Model 3,35,1810010001,Duct - Thermistor - Lower - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1810010002,Duct - Thermistor - Lower - RH,Remove and Replace,0.12,0.12
NO,Model 3,35,1810010011,HVAC Assembly,Remove and Install,2.58,2.58
NO,Model 3,35,1810010012,HVAC Assembly,Remove and Replace,2.58,2.58
NO,Model 3,35,1810010021,Blower Motor - HVAC,Remove and Install,2.46,2.46
NO,Model 3,35,1810010022,Blower Motor - HVAC,Remove and Replace,2.46,2.46
NO,Model 3,35,1810010061,Harness - HVAC,Remove and Install,2.82,2.82
NO,Model 3,35,1810010062,Harness - HVAC,Remove and Replace,2.82,2.82
NO,Model 3,35,1810010071,Actuator - HVAC,Remove and Install,2.76,2.76
NO,Model 3,35,1810010072,Actuator - HVAC,Remove and Replace,2.76,2.76
NO,Model 3,35,1810010081,Thermistor Evaporator - HVAC,Remove and Install,0.12,0.12
NO,Model 3,35,1810010082,Thermistor Evaporator - HVAC,Remove and Replace,0.12,0.12
NO,Model 3,35,1810010091,Thermistor Duct - HVAC,Remove and Install,0.06,0.06
NO,Model 3,35,1810010092,Thermistor Duct - HVAC,Remove and Replace,0.06,0.06
NO,Model 3,35,1810010101,Actuator - Upper and Lower - HVAC,Remove and Install,0.36,0.36
NO,Model 3,35,1810010102,Actuator - Upper and Lower - HVAC,Remove and Replace,0.36,0.36
NO,Model 3,35,1810010111,NVH Seal - HVAC,Remove and Install,2.58,2.58
NO,Model 3,35,1810010112,NVH Seal - HVAC,Remove and Replace,2.58,2.58
NO,Model 3,35,1810010131,Duct - Floor - 2nd Row - LH,Remove and Install,0.6,0.6
NO,Model 3,35,1810010132,Duct - Floor - 2nd Row - LH,Remove and Replace,0.6,0.6
NO,Model 3,35,1810011111,Duct - Thermistor - Lower - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1810011112,Duct - Thermistor - Lower - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1810020011,Duct - Floor - 2nd Row - RH,Remove and Install,0.42,0.42
NO,Model 3,35,1810020012,Duct - Floor - 2nd Row - RH,Remove and Replace,0.42,0.42
NO,Model 3,35,1810020021,Air Extractor,Remove and Install,0.54,0.54
NO,Model 3,35,1810020022,Air Extractor,Remove and Replace,0.54,0.54
NO,Model 3,35,1810071502,Duct - Thermistor - RH,Remove and Replace,2.28,2.28
NO,Model 3,35,18103205,Blower Motor - HVAC (Clean),Maintenance,0.24,0.24
NO,Model 3,35,18106728,Vehicle Sanitation - Evaporator - Tunap 994,Restore,0.36,0.36
NO,Model 3,35,1820020011,A/C Compressor,Remove and Install,1.02,1.02
NO,Model 3,35,1820020012,A/C Compressor,Remove and Replace,1.02,1.02
NO,Model 3,35,1820020021,Acoustic Blanket - A/C Compressor,Remove and Install,0.9,0.9
NO,Model 3,35,1820020022,Acoustic Blanket - A/C Compressor,Remove and Replace,0.9,0.9
NO,Model 3,35,1820020302,A/C Compressor and Supermanifold ,Remove and Replace,1.92,1.92
NO,Model 3,35,18200332,Stone Guard,Remove and Replace,1.08,1.08
NO,Model 3,35,1830010011,Radiator,Remove and Install,1.02,1.02
NO,Model 3,35,1830010012,Radiator,Remove and Replace,1.02,1.02
NO,Model 3,35,1830010052,Hose - Chiller to HV Battery (LHD) (RWD),Remove and Replace,0.9,0.9
NO,Model 3,35,1830010131,Tube - HV Battery Return,Remove and Install,2.88,2.88
NO,Model 3,35,1830010132,Tube - HV Battery Return,Remove and Replace,2.88,2.88
NO,Model 3,35,1830020021,Hose - Rear Drive Unit to Oil Coller,Remove and Install,1.98,1.98
NO,Model 3,35,1830020022,Hose - Rear Drive Unit to Oil Coller,Remove and Replace,1.98,1.98
NO,Model 3,35,1830020041,Hose - Outlet - Rear Drive Unit,Remove and Install,0.72,0.72
NO,Model 3,35,1830020042,Hose - Outlet - Rear Drive Unit,Remove and Replace,0.72,0.72
NO,Model 3,35,1830020051,Hose - Chiller to HV Battery (LHD),Remove and Install,2.7,2.7
NO,Model 3,35,1830020052,Hose - Chiller to HV Battery (LHD),Remove and Replace,2.7,2.7
NO,Model 3,35,1830020061,Hose - Radiator Outlet,Remove and Install,0.6,0.6
NO,Model 3,35,1830020062,Hose - Radiator Outlet,Remove and Replace,0.6,0.6
NO,Model 3,35,1830020081,Hose - HV Battery Return,Remove and Install,0.96,0.96
NO,Model 3,35,1830020082,Hose - HV Battery Return,Remove and Replace,0.96,0.96
NO,Model 3,35,1830020131,Hose - HV Battery Return,Remove and Install,1.56,1.56
YES,Model 3,35,18300900,Thermal System Test,Test/Adjust,0.1,0.1
YES,Model 3,35,18301000,Clean Radiator,Maintenance,1.02,1.02
NO,Model 3,35,18301200,Remove and Clean Radiator (Heat Pump),Maintenance,1.14,1.14
NO,Model 3,35,1840010011,Supermanifold,Remove and Install,2.22,2.22
NO,Model 3,35,1840010012,Supermanifold,Remove and Replace,2.22,2.22
NO,Model 3,35,1840010021,Service Kit - Coolant Pump,Remove and Install,0.6,0.6
NO,Model 3,35,1840010031,Service Kit - Coolant Reservoir,Remove and Install,0.9,0.9
NO,Model 3,35,1840010032,Service Kit - Coolant Reservoir,Remove and Replace,0.9,0.9
NO,Model 3,35,1840010041,Octovalve,Remove and Install,1.08,1.08
NO,Model 3,35,1840010042,Octovalve,Remove and Replace,1.08,1.08
NO,Model 3,35,1840010071,Service Kit - Chiller,Remove and Install,0.96,0.96
NO,Model 3,35,1840010072,Chiller,Remove and Replace,0.96,0.96
NO,Model 3,35,1840010081,EXV Core - Supermanifold,Remove and Install,0.36,0.36
NO,Model 3,35,1840010082,EXV Core - Supermanifold,Remove and Replace,0.36,0.36
NO,Model 3,35,1840010091,EXV Coil - Supermanifold,Remove and Install,0.24,0.24
NO,Model 3,35,1840010092,EXV Coil - Supermanifold,Remove and Replace,0.24,0.24
NO,Model 3,35,1840010101,SOV Core - Supermanifold,Remove and Install,0.36,0.36
NO,Model 3,35,1840010102,SOV Core - Supermanifold,Remove and Replace,0.36,0.36
NO,Model 3,35,1840010111,SOV Coil - Supermanifold,Remove and Install,0.24,0.24
NO,Model 3,35,1840010112,SOV Coil - Supermanifold,Remove and Replace,0.24,0.24
NO,Model 3,35,1840010121,Check Valve - Supermanifold,Remove and Install,0.78,0.78
NO,Model 3,35,1840010131,PT Sensor - High Pressure,Remove and Install,0.3,0.3
NO,Model 3,35,1840010132,PT Sensor - High Pressure,Remove and Replace,0.3,0.3
NO,Model 3,35,1840010141,PT Sensor - Low Pressure,Remove and Install,0.24,0.24
NO,Model 3,35,1840010142,PT Sensor - Low Pressure,Remove and Replace,0.24,0.24
NO,Model 3,35,1840010151,Cap - Coolant Reservoir,Remove and Install,0.06,0.06
NO,Model 3,35,1840010152,Cap - Coolant Reservoir,Remove and Replace,0.06,0.06
NO,Model 3,35,1840010161,Coolant Pump - HV Battery,Remove and Install,0.6,0.6
NO,Model 3,35,1840010162,Coolant Pump - HV Battery,Remove and Replace,0.6,0.6
NO,Model 3,35,1840010171,PT Sensor - Subcool - High Pressure ,Remove and Install,0.36,0.36
NO,Model 3,35,1840010172,PT Sensor - Subcool - High Pressure ,Remove and Replace,0.36,0.36
NO,Model 3,35,1840011221,Check Valve - Evaporator,Remove and Install,0.3,0.3
NO,Model 3,35,18402902,Service Kit - Check Valves - Supermanifold,Remove and Replace,1.32,1.32
NO,Model 3,35,1850010011,Active Grill Shutter,Remove and Install,0.78,0.78
NO,Model 3,35,1850010012,Active Grill Shutter,Remove and Replace,0.78,0.78
NO,Model 3,35,1850010021,Sensor - Ambient Air Temperature,Remove and Install,0.18,0.18
NO,Model 3,35,1850010022,Sensor - Ambient Air Temperature,Remove and Replace,0.18,0.18
NO,Model 3,35,1901010011,Veci Label,Remove and Install,0.12,0.12
NO,Model 3,35,1901010012,Veci Label,Remove and Replace,0.12,0.12
NO,Model 3,35,1901010021,Motor ID Label,Remove and Install,0.47,0.47
NO,Model 3,35,1901010022,Motor ID Label,Remove and Replace,0.47,0.47
YES,Model 3,35,19010100825,Remove Vehicle Label (No Anti-Tamper Residue),Removal,0.06,0.06
YES,Model 3,35,19010100902,Vehicle Emission Control Label,Remove and Replace,0.06,0.06
YES,Model 3,35,19010100925,Remove Vehicle Label and Anti-Tamper Residue,Removal,0.12,0.12
YES,Model 3,35,19010101002,Battery Chemistry Label,Remove and Replace,0.06,0.06
YES,Model 3,35,19010101102,Monroney Label,Remove and Replace,0.06,0.06
YES,Model 3,35,19010202,Labels - Any (Remove & Replace),Remove and Replace,0.29,0.29
NO,Model 3,35,19010303,Labels - Battery Enclosure - Any,Module Reset/Reflashed,0.24,0.24
NO,Model 3,35,190135740002,"Correct CE label already present, no further action required.",Test/Adjust,0.1,0.1
NO,Model 3,35,2001010021,Label - Knee Airbag,Remove and Install,0.24,0.24
NO,Model 3,35,2001010022,Label - Knee Airbag,Remove and Replace,0.24,0.24
NO,Model 3,35,2001010031,Airbag - Knee - RH,Remove and Install,0.24,0.24
NO,Model 3,35,2001010032,Airbag - Knee - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,2001010041,Airbag - Knee - LH,Remove and Install,0.24,0.24
NO,Model 3,35,2001010042,Airbag - Knee - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,2001010051,Airbag - Driver,Remove and Install,0.12,0.12
NO,Model 3,35,2001010052,Airbag - Driver,Remove and Replace,0.12,0.12
NO,Model 3,35,2001010061,Harness - Airbag - Driver,Remove and Install,0.12,0.12
NO,Model 3,35,2001010062,Harness - Airbag - Driver,Remove and Replace,0.12,0.12
NO,Model 3,35,2005010011,1st Row Seat Belts -Service Kit - OCS (Rework),,0.18,0.18
NO,Model 3,35,2005010012,1st Row Seat Belts -Service Kit - OCS Rework,Remove and Replace,0.47,0.47
NO,Model 3,35,2005010051,Retractor - Seatbelt - 1st Row - Passenger,Remove and Install,0.42,0.42
NO,Model 3,35,2005010052,Retractor - Seatbelt - 1st Row - Passenger,Remove and Replace,0.42,0.42
NO,Model 3,35,2005010061,Retractor - Seatbelt - Driver,Remove and Install,0.42,0.42
NO,Model 3,35,2005010062,Retractor - Seatbelt - Driver,Remove and Replace,0.42,0.42
NO,Model 3,35,2005010071,Buckle - Seatbelt - 1st Row - LH,Remove and Install,0.18,0.18
NO,Model 3,35,2005010072,Buckle - Seatbelt - 1st Row - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,2005010091,Buckle - Seat Belt - 1st Row - RH,Remove and Install,0.18,0.18
NO,Model 3,35,2005010092,Buckle - Seatbelt - 1st Row - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,2005020021,Retractor - Seatbelt - 2nd Row - Center,Remove and Install,0.66,0.66
NO,Model 3,35,2005020022,Retractor - Seatbelt - 2nd Row - Center,Remove and Replace,0.66,0.66
NO,Model 3,35,2005020031,Buckle - Seatbelt - 2nd Row - LH,Remove and Install,0.18,0.18
NO,Model 3,35,2005020032,Buckle - Seatbelt - 2nd Row - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,2005020041,Buckle - Seatbelt - 2nd Row - RH and Center,Remove and Install,0.18,0.18
NO,Model 3,35,2005020042,Buckle - Seatbelt - 2nd Row - RH and Center,Remove and Replace,0.18,0.18
NO,Model 3,35,2005021101,Buckle - Seatbelt - 2nd Row - RH,Remove and Install,0.18,0.18
NO,Model 3,35,2005021102,Buckle - Seatbelt - 2nd Row - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,2010010011,Pretensioner - Passenger,Remove and Install,0.42,0.42
NO,Model 3,35,2010010012,Pretensioner - Passenger,Remove and Replace,0.42,0.42
NO,Model 3,35,2010010021,Pretensioner - Driver,Remove and Install,0.42,0.42
NO,Model 3,35,2010010022,Pretensioner - Driver,Remove and Replace,0.42,0.42
NO,Model 3,35,2020010071,Sensor - Pressure - Door - Rear - LH,Remove and Install,0.18,0.18
NO,Model 3,35,2020010072,Sensor - Pressure - Door - Rear - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,2020010171,Sensor - Pressure - Door - Rear - RH,Remove and Install,0.18,0.18
NO,Model 3,35,2020010172,Sensor - Pressure - Door - Rear - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,2020010611,Sensor - Impact Accelerometer - B-Pillar - LH,Remove and Install,0.3,0.3
NO,Model 3,35,2020010612,Sensor - Impact Accelerometer - B-Pillar - LH,Remove and Replace,0.3,0.3
NO,Model 3,35,2020011062,Sensor - Impact Accelerometer - B-Pillar - RH,Remove and Replace,0.3,0.3
NO,Model 3,35,2020020011,Sensor - Seat Track Position - 1st Row - RH,Remove and Install,0.47,0.47
NO,Model 3,35,2020020012,Sensor - Seat Track Position - 1st Row - RH,Remove and Replace,0.47,0.47
YES,Model 3,35,21051000,Update Display Avatar,Test/Adjust,0.12,0.12
NO,Model 3,35,2107010211,Touchscreen - Rear(with a Screw-secured Phone Dock),Remove and Install,0.6,0.6
NO,Model 3,35,2107010212,Touchscreen - Rear(with a Screw-secured Phone Dock),Remove and Replace,0.66,0.66
NO,Model 3,35,2107010221,Touchscreen - Rear(with a Screw-secured Phone Dock),Remove and Install,0.48,0.48
NO,Model 3,35,2107010222,Touchscreen - Rear(with a Screw-secured Phone Dock),Remove and Replace,0.48,0.48
NO,Model 3,35,2110010011,SIM Card - Car Computer,Remove and Install,0.42,0.42
NO,Model 3,35,2110010012,SIM Card - Car Computer,Remove and Replace,0.42,0.42
NO,Model 3,35,2110010021,SD Card - Car Computer,Remove and Install,0.18,0.18
NO,Model 3,35,2110010022,SD Card - Car Computer,Remove and Replace,0.18,0.18
NO,Model 3,35,2110010031,Car Computer (LHD),Remove and Install,1.02,1.02
NO,Model 3,35,2110022012,Drip Guard - Car Computer,Remove and Replace,0.96,0.96
NO,Model 3,35,21151007,Car Computer (Dispose),Modify,0.24,0.24
NO,Model 3,35,21153302,Car Computer (HW4) (LHD),Remove and Replace,1.44,1.44
NO,Model 3,35,21153312,Replace Car Computer (HW4) (RHD),Remove and Replace,1.2,1.2
NO,Model 3,35,2121010011,Woofer - Parcel Shelf,Remove and Install,0.42,0.42
NO,Model 3,35,2121010012,Woofer - Parcel Shelf,Remove and Replace,0.42,0.42
NO,Model 3,35,2121010511,Speaker - Rear Door - RH,Remove and Install,0.18,0.18
NO,Model 3,35,2121010512,Speaker - Rear Door - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,2121010521,Speaker - Rear Door - LH,Remove and Install,0.18,0.18
NO,Model 3,35,2121010522,Speaker - Dash - LH,Remove and Replace,0.3,0.3
NO,Model 3,35,2121010531,Speaker - Dash - Center,Remove and Install,0.3,0.3
NO,Model 3,35,2121010532,Speaker - Dash - Center,Remove and Replace,0.3,0.3
NO,Model 3,35,2121010542,Speaker - Dash - RH,Remove and Replace,0.3,0.3
NO,Model 3,35,2121010811,Super Horn,Remove and Install,0.24,0.24
NO,Model 3,35,2121010812,Super Horn,Remove and Replace,0.24,0.24
NO,Model 3,35,2121012021,Speaker - Rear Door - LH,Remove and Install,0.18,0.18
NO,Model 3,35,2121012022,Speaker - Rear Door - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,2121012502,Speaker - Dash - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,2135011021,Telematics Control Unit (TCU),Remove and Install,0.6,0.6
NO,Model 3,35,2135011022,Telematics Control Unit (TCU),Remove and Replace,0.6,0.6
NO,Model 3,35,2135011031,Tuner FM/HD/DAB,Remove and Install,0.24,0.24
NO,Model 3,35,2135011032,Tuner FM/HD/DAB,Remove and Replace,0.24,0.24
NO,Model 3,35,2135011042,GNSS Antenna,Remove and Replace,0.12,0.12
NO,Model 3,35,31000200,Four Wheel Alignment (Camber Caster Add-On),Test/Adjust,0.65,0.65
NO,Model 3,35,31001500,EPAS Alignment Check,Test/Adjust,0.12,0.12
YES,Model 3,35,31002300,Four Wheel Alignment Check and Adjust,Test/Adjust,0.9,0.9
NO,Model 3,35,3103010001,Hub - Rear - RH,Remove and Install,0.54,0.54
NO,Model 3,35,3103010002,Hub - Rear - RH,Remove and Replace,0.54,0.54
NO,Model 3,35,3103010011,Hub - Rear - LH,Remove and Install,0.54,0.54
NO,Model 3,35,3103010012,Hub - Rear - LH,Remove and Replace,0.54,0.54
NO,Model 3,35,3103010021,Knuckle - Rear - LH,Remove and Install,1.08,1.08
NO,Model 3,35,3103010022,Knuckle - Rear - LH,Remove and Replace,1.08,1.08
NO,Model 3,35,3103010031,Knuckle - Rear - RH,Remove and Install,1.08,1.08
NO,Model 3,35,3103010032,Knuckle - Rear - RH,Remove and Replace,1.08,1.08
NO,Model 3,35,3103020031,Stabilizer Bar - Rear,Remove and Install,0.36,0.36
NO,Model 3,35,3103020032,Stabilizer Bar - Rear,Remove and Replace,0.36,0.36
NO,Model 3,35,3103030021,Cover - Suspension - Rear - RH,Remove and Install,0.12,0.12
NO,Model 3,35,3103030022,Cover - Suspension - Rear - RH,Remove and Replace,0.12,0.12
YES,Model 3,35,31039000,Suspension - Rear (Check Torque),Test/Adjust,0.36,0.36
NO,Model 3,35,3115020041,Damper - Rear - LH,Remove and Install,0.48,0.48
NO,Model 3,35,3115020042,Damper - Rear - LH,Remove and Replace,0.48,0.48
NO,Model 3,35,3115020051,Damper - Rear - RH,Remove and Install,0.48,0.48
NO,Model 3,35,3115020052,Damper - Rear - RH,Remove and Replace,0.48,0.48
NO,Model 3,35,3201010051,Tie Rod End - LH,Remove and Install,0.24,0.24
NO,Model 3,35,3201010052,Tie Rod End - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,3201010061,Tie Rod End - RH,Remove and Install,0.24,0.24
NO,Model 3,35,3201010062,Tie Rod End - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,3201010701,Tie Rod End - RH,Remove and Install,0.24,0.24
NO,Model 3,35,3201010702,Tie Rod End - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,3310007102,Chassis Harness - Wheel Speed Sensor - Rear - LH,Remove and Replace,0.3,0.3
NO,Model 3,35,3310007112,Chassis Harness - Wheel Speed Sensor - Rear - RH,Remove and Replace,0.3,0.3
NO,Model 3,35,3310010021,Sensor - Wheel Speed - Rear - LH,Remove and Install,0.24,0.24
NO,Model 3,35,3310010022,Sensor - Wheel Speed - Rear - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,3310030031,Sensor - Wheel Speed - Rear - RH,Remove and Install,0.24,0.24
NO,Model 3,35,3310030032,Sensor - Wheel Speed - Rear - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,3325010022,Pedal Assembly (LHD),Remove and Replace,0.36,0.36
NO,Model 3,35,3401000121,Wheel Trim - Rear - LH (Performance),Remove and Install,0.12,0.12
NO,Model 3,35,3401000122,Wheel Trim - Rear - LH (Performance),Remove and Replace,0.12,0.12
NO,Model 3,35,3401000131,Wheel Trim - Rear - RH (Performance),Remove and Install,0.12,0.12
NO,Model 3,35,3401000132,Wheel Trim - Rear - RH (Performance),Remove and Replace,0.12,0.12
YES,Model 3,35,34010105,Tire Rotation,Maintenance,0.3,0.3
YES,Model 3,35,34011302,Lug Nuts - Vehicle Set (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,35,34012902,Wheels - Set (Remove and Replace),Remove and Replace,1.56,1.56
YES,Model 3,35,34014005,Seasonal Wheel and Tire Set Swap (Already Built),Seasonal Swap,0.5,0.5
YES,Model 3,35,34014101,Tire Set - Vehicle - Swap  (Not Already Built),Remove and Install,1.38,1.38
NO,Model 3,35,34015007,Wheel Disposal (Rework),Modify,0.06,0.06
YES,Model 3,35,34015032,Cap - Wheel - Set (Remove & Replace),Remove and Replace,0.05,0.05
YES,Model 3,35,34015202,Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,35,34015222,Cap - Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model 3,35,34015302,Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,35,34015322,Cap - Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model 3,35,34020010,Mobile Tire Service Performed,Modify,0.0,0.0
YES,Model 3,35,34020030,Mobile Tire Service Performed – Logistics,Tire Repair,0.0,0.0
NO,Model 3,35,34020105,Tire Rotation (Mobile Only),Maintenance,0.48,0.48
YES,Model 3,35,34020305,Tires - All Four (Balance),Rebalance,0.6,0.6
YES,Model 3,35,34020900,Check and Adjust Tire Pressure,Test/Adjust,0.05,0.05
YES,Model 3,35,34021202,Tire - Rear - LH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model 3,35,34021302,Tire - Rear - RH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model 3,35,34021605,Tires - Rear - Set,Tire Purchase,0.7,0.7
YES,Model 3,35,34021805,Tires - Vehicle - Set,Tire Purchase,1.15,1.15
YES,Model 3,35,34022015,Tire - Supplemental (Rebalance),Maintenance,0.18,0.18
YES,Model 3,35,34022205,Tire - Rear - LH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model 3,35,34022225,Tire - Rear - LH (Balance),Rebalance,0.2,0.2
YES,Model 3,35,34022305,Tire - Rear - RH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model 3,35,34022325,Tire - Rear - RH (Balance),Rebalance,0.2,0.2
NO,Model 3,35,34022425,Tires - Pair (Balance),Rebalance,0.3,0.3
YES,Model 3,35,34023208,Tire - Rear - LH (Repair),Tire Repair,0.72,0.72
YES,Model 3,35,34023308,Tire - Rear - RH (Repair),Tire Repair,0.72,0.72
NO,Model 3,35,34040402,Sensor - TPMS - Rear - LH (Remove & Replace),Remove and Replace,0.42,0.42
